dataset,H,W,model,latent_dim,params,epochs,val_mse,val_psnr,val_ssim,infer_ms_per_img
mnist,28,28,cnn,256,934081,2,9.174289442443847,20.13267053709008,0.8789736969269383,0.4157027312430728
mnist,28,28,fastkan,256,3615808,2,3.026914794921875,24.901243661567587,0.9319992643483981,0.02966276251754607
shapes,64,64,cnn,256,2582017,2,488.635,11.49941076658172,0.7814906852299057,2.474278531553864
shapes,64,64,fastkan,256,18887440,2,295.9337463378906,12.894178086281084,0.24468993396964409,0.23705677513135015
