dataset,H,W,model,latent_dim,params,epochs,val_mse,val_psnr,val_ssim,infer_ms_per_img
mnist,28,28,cnn,128,524353,10,4.322099154663086,23.377291692967347,0.9390272570855678,0.47796732214919757
mnist,28,28,kan_linear,128,1605632,10,1.3658544225692748,28.191264525587332,0.9300159938869902,0.68856810030411
mnist,28,28,kan_bezier,128,1605632,10,1.506943876838684,27.742223433917967,0.9199447511972114,1.8093246097123483
mnist,28,28,kan_catmull,128,1605632,10,1.4471204957962036,27.91842999169881,0.9267196919477712,2.4164537779142847
mnist,28,28,kan_bspline,128,1605632,10,1.4868391021728515,27.805754431421878,0.9243645686921934,2.6460188779310556
mnist,28,28,fastkan,128,1809088,10,1.4660129955291747,27.94846933532223,0.9491164321894384,0.021295183978509158
cifar16,16,16,cnn,128,296769,10,2.8693560791015624,20.190297011657822,0.62583942626602,0.1286515594983939
cifar16,16,16,kan_linear,128,524288,10,0.3936189929008484,28.64770437305339,0.9604774347036111,0.25174883121508174
cifar16,16,16,kan_bezier,128,524288,10,0.47422850131988525,27.850815838090103,0.9537258659199518,0.6857391974335769
cifar16,16,16,kan_catmull,128,524288,10,0.4410949657440186,28.134016279669666,0.9563066176946262,0.6950249968213029
cifar16,16,16,kan_bspline,128,524288,10,0.47550335302352903,27.79787260491401,0.9524366979279619,0.7640234343853081
cifar16,16,16,fastkan,128,590992,10,0.5364826408386231,27.268445824741743,0.9442915654556627,0.014045181160327047
large,64,64,cnn,128,1516929,8,81.1114102859497,17.59127021336647,0.3177437920395212,3.350244273315184
large,64,64,kan_linear,128,8388608,8,85.60902289581298,17.30209326849991,0.2686855622262683,3.592128625314217
large,64,64,kan_bezier,128,8388608,8,67.3144468460083,18.310045717039923,0.3361707637422938,13.174043211620301
large,64,64,kan_catmull,128,8388608,8,98.29111393737793,16.729813668269262,0.24236277087498906,12.671196351584513
large,64,64,kan_bspline,128,8388608,8,115.57691383361816,16.047660936712507,0.21232641644847217,13.497479673242196
large,64,64,fastkan,128,9449872,8,68.23538834381104,18.16694563209265,0.3548120387280654,0.20091562328161672
shapes,64,64,cnn,128,1516929,10,488.635,11.49941076658172,0.7814906852299057,2.472027081239503
shapes,64,64,kan_linear,128,8388608,10,98.58121795654297,16.785819450939094,0.6472330317233801,4.504459246527404
shapes,64,64,kan_bezier,128,8388608,10,97.09318817138671,16.835906900928435,0.6365763770505489,11.332428374953452
shapes,64,64,kan_catmull,128,8388608,10,110.2577392578125,16.33283053562155,0.5934476052797859,13.706822541280417
shapes,64,64,kan_bspline,128,8388608,10,103.30571472167969,16.59984687191204,0.6326155245712215,16.25681822806655
shapes,64,64,fastkan,128,9449872,10,127.81631591796875,15.753268462950421,0.24970935623570925,0.13234453763288911
