dataset,H,W,model,latent_dim,params,epochs,val_mse,val_psnr,val_ssim,infer_ms_per_img
mnist,28,28,cnn,32,217057,10,5.8138851598103845,22.157987636951386,0.9207693765678044,0.4298772124457173
mnist,28,28,kan_linear,32,301056,10,8.391472483317058,20.424123414085855,0.79036576679336,0.15680872174925753
mnist,28,28,kan_bezier,32,301056,10,36.60290687052409,13.707704269689287,0.4117831593228366,0.43651185324051767
mnist,28,28,kan_catmull,32,301056,10,8.963727661132813,20.07654391786162,0.7750152847925458,0.5339985655155033
mnist,28,28,kan_bspline,32,301056,10,28.065544993082682,14.904120779739621,0.5083149917911007,0.49040676558433915
mnist,28,28,fastkan,32,454048,10,7.13219884109497,21.232200530594774,0.8787295455673897,0.015520703163929285
cifar16,16,16,cnn,32,96993,10,3.6865767208099367,19.140858454674746,0.5301655474448381,0.12758007815136807
cifar16,16,16,kan_linear,32,98304,10,1.6253956714630127,22.710179580739577,0.8227437757345427,0.11471966263343347
cifar16,16,16,kan_bezier,32,98304,10,2.5204703788757326,20.82225826546736,0.705823115547979,0.17207357177539961
cifar16,16,16,kan_catmull,32,98304,10,1.7806157905578612,22.318648094151257,0.809506747945055,0.1400963530613808
cifar16,16,16,kan_bspline,32,98304,10,2.3161442432403563,21.18168669555179,0.7316555544721794,0.14384153128048638
cifar16,16,16,fastkan,32,148336,10,1.7648095615386963,22.207330928274033,0.8089535145746647,0.005171096927369945
large,64,64,cnn,32,718113,10,100.59522998046874,16.674244766591784,0.2708677854417987,2.6350638062467624
large,64,64,kan_linear,32,1572864,10,132.43144287109374,15.526355483227485,0.21127857976319636,0.7232359407680633
large,64,64,kan_bezier,32,1572864,10,117.90221533203125,16.008643930728415,0.22309924950151028,3.1341154938672844
large,64,64,kan_catmull,32,1572864,10,126.43757958984375,15.713022458515356,0.21809958752076752,2.9117253906406404
large,64,64,kan_bspline,32,1572864,10,130.80313330078124,15.576152879581528,0.21514759617688825,2.885970315674058
large,64,64,fastkan,32,2371696,10,102.63875903320313,16.505809970540383,0.23084892898307874,0.0459449219306407
shapes,32,32,cnn,32,248737,10,99.50223205566407,11.465930089134696,0.08347631214804978,0.6495562440250069
shapes,32,32,kan_linear,32,393216,10,62.871310272216796,12.533563916359732,0.1069075427722325,0.20629086548069608
shapes,32,32,kan_bezier,32,393216,10,98.29482971191406,10.73305155834152,0.05741765783621764,0.6050018254427414
shapes,32,32,kan_catmull,32,393216,10,72.95096588134766,12.00175493231372,0.09153629832801904,0.640672656300012
shapes,32,32,kan_bspline,32,393216,10,94.90665740966797,10.829458597045338,0.06058636433236493,0.6405174405699654
shapes,32,32,fastkan,32,593008,10,45.42783447265625,14.027190871401586,0.16536007928335286,0.018379819175606826
